id,ids_prism,ids_espn,ids_gsis,ids_nffc,ids_pfr,ids_sleeper,ids_sportradar,ids_wikidata,ids_yahoo,names_boxscore,names_givenFirst,names_firstLast,names_lastFirst,names_lastFirstInit,names_givenFull,names_suffix,names_display,names_last,names_first,names_middle,profile_birthDate,profile_birthYear,profile_birthMonth,profile_birthDay,profile_height,profile_weight,position_abbreviation,position_group,team_abbreviation,team_jerseyNumber,status_code,status_description,profile_rookieYear
9y2z9blztm,9y2z9blztm,4379399,00-0037248,19467,CookJa01,8138,ce5de0e5-9f76-42ee-b93a-3ef88af9b0a7,Q109849794,34019,J.Cook,James,James Cook,"Cook, James","Cook, J",James Cook,,James Cook,Cook,James,,1999-09-25,1999,09,25,71,190,RB,RB,BUF,4,ACT,Active,2022
b0jh2nx10m,b0jh2nx10m,15864,00-0030565,11818,SmitGe00,1373,cfc93f5e-105e-4a5e-88d3-f4279893cfa8,Q59497,26662,G.Smith,Eugene,Geno Smith,"Smith, Geno","Smith, G",Eugene Smith,,Geno Smith,Smith,Geno,,1990-10-10,1990,10,10,75,221,QB,QB,NYJ,7,ACT,Active,2013
b1dmws3204,b1dmws3204,4682652,00-0040202,22104,NealDe00,12476,4ef874c1-50c3-4120-9199-0d5a4ae7c6dd,Q115492056,41972,D.Neal,Devin,Devin Neal,"Neal, Devin","Neal, D",Devin Neal,,Devin Neal,Neal,Devin,,2003-08-12,2003,08,12,71,213,RB,RB,NO,24,ACT,Active,2025
bg09vffbn8,bg09vffbn8,16002,00-0029892,11911,JuszKy00,1379,67da5b5c-0db9-4fbc-b98d-7eb8e97b69f6,Q14950145,26753,K.Juszczyk,Kyle,Kyle Juszczyk,"Juszczyk, Kyle","Juszczyk, K",Kyle Juszczyk,,Kyle Juszczyk,Juszczyk,Kyle,,1991-04-23,1991,04,23,74,235,FB,RB,SF,44,ACT,Active,2013
bpfx2ccd7h,bpfx2ccd7h,4426386,00-0039021,20334,JohnRo07,10235,e3c414c0-be8c-4807-af9c-f91d89c83e60,Q114060536,40162,R.Johnson,Roschon,Roschon Johnson,"Johnson, Roschon","Johnson, R",Roschon Johnson,,Roschon Johnson,Johnson,Roschon,,2001-01-31,2001,01,31,72,227,RB,RB,CHI,23,ACT,Active,2023
byrh5jbfrr,byrh5jbfrr,4887558,00-0038797,21001,WilsEm00,11435,05266280-f323-11ed-bd27-0bcbcaae8d67,Q122110046,40707,E.Wilson,Emanuel,Emanuel Wilson,"Wilson, Emanuel","Wilson, E",Emanuel Wilson,,Emanuel Wilson,Wilson,Emanuel,,1999-05-08,1999,05,08,70,226,RB,RB,SEA,27,ACT,Active,2023
cd2tnqmxp0,cd2tnqmxp0,4429059,00-0040583,22109,MarkWo00,12474,b900661b-b5df-47c8-819d-bb13b106a60b,Q124407689,41902,W.Marks,Jo'Quavious,Woody Marks,"Marks, Woody","Marks, W",Jo'Quavious Marks,,Woody Marks,Marks,Woody,,2000-12-29,2000,12,29,70,208,RB,RB,HOU,4,ACT,Active,2025
cjs8qckn70,cjs8qckn70,4257364,00-0038440,20829,ScotZa00,11299,3b133980-eb9a-11ed-8b52-a11a185238e2,Q124753613,40539,Z.Scott,Zavier,Zavier Scott,"Scott, Zavier","Scott, Z",Zavier Scott,,Zavier Scott,Scott,Zavier,,1999-07-17,1999,07,17,73,221,RB,RB,MIN,36,ACT,Active,2023
crn4f6m9cr,crn4f6m9cr,4685702,00-0040784,22062,JudkQu00,12512,268c6ae2-278b-49f8-b7cd-b367944412f3,Q115492439,41821,Q.Judkins,Quinshon,Quinshon Judkins,"Judkins, Quinshon","Judkins, Q",Quinshon Judkins,,Quinshon Judkins,Judkins,Quinshon,,2003-10-29,2003,10,29,72,221,RB,RB,CLE,10,ACT,Active,2025
ctzjf2xzxh,ctzjf2xzxh,3912547,00-0034869,16077,DarnSa00,4943,13d826c5-9b22-4e0a-a877-02d8c84c546b,Q27049069,30973,S.Darnold,Sam,Sam Darnold,"Darnold, Sam","Darnold, S",Sam Darnold,,Sam Darnold,Darnold,Sam,,1997-06-05,1997,06,05,75,225,QB,QB,SEA,14,ACT,,2018
